,BreweryName,BreweryType,Latitude,Longitude,County,State
222,Mason's Brewing Company,micro,44.7914659606583,-68.7695709213165,Penobscot,ME
223,Norway Brewing Company,brewpub,44.1973621,-70.5268344,Oxford,ME
224,Shipyard Brewing Co,regional,43.6615851,-70.2486231394133,Cumberland,ME
225,Barley and Hops Grill,brewpub,39.38204685,-77.3995969,Frederick,MD
226,Brewer's Alley Restaurant and Brewery,brewpub,39.41607325,-77.4104551496397,Frederick,MD
227,Evolution Craft Brewing Co,regional,38.361979,-75.595254,Wicomico,MD
228,Flying Dog Brewery,regional,39.3628322,-77.4267910677553,Frederick,MD
229,Franklins General Store,micro,38.9519439895478,-76.9407411387391,Prince George's,MD
230,Greene Growlers,brewpub,39.1419364,-77.1935558364428,Montgomery,MD
231,Pub Dog Brewing Company,micro,39.5504519724238,-77.0522979602972,Carroll,MD
232,Saints Row Brewing,micro,39.0936171503817,-77.1340180802385,Montgomery,MD
233,The Brewer's Art / Old Line Brewery LLC,brewpub,39.303716,-76.6146068,Baltimore,MD
234,Berkshire Brewing Co Inc,regional,42.4777979726281,-72.6102508608935,Franklin,MA
235,Big Elm Brewing,micro,42.093595,-73.351236,Berkshire,MA
236,Brewmasters Tavern / Brewmasters Brewing Services,micro,42.3923659,-72.7305059,Hampshire,MA
237,Deadwood Brewery / Boston Bowl,brewpub,42.2948560502166,-71.047997482376,Suffolk,MA
238,Entitled Beer Company,proprietor,42.2436072296139,-70.8861847258737,Plymouth,MA
239,Exhibit 'A' Brewing Co.,micro,42.27880435,-71.4018708794239,Middlesex,MA
240,John Harvards Brew House - Framingham,brewpub,42.30411485,-71.3961924451932,Middlesex,MA
241,Navigation Brewing Co,micro,42.640349969697,-71.3246481212121,Middlesex,MA
242,Oak & Iron Brewing Co,brewpub,42.656149077407,-71.1478857877187,Essex,MA
243,Percival Brewing Company,micro,42.1722630460252,-71.2072322984867,Norfolk,MA
244,Slesar Bros Brewing Co - Boston Beer Works,brewpub,42.364473,-71.0603412,Suffolk,MA
245,Wachusett Brewing Co,regional,42.557835421284,-71.872940157432,Worcester,MA
246,Wandering Star Brewing Co,micro,42.4570644889269,-73.2120230280269,Berkshire,MA
247,Arcadia Brewing Co,micro,42.2950789,-85.5715368,Kalamazoo,MI
248,Atwater In the Park Biergarten and Tap House,brewpub,42.3814617,-82.9399103,Wayne,MI
249,Big Boiler Brewing,brewpub,42.9346293061224,-85.3365535102041,Kent,MI
250,Big Cat Brewing Company,brewpub,44.8531928678156,-85.7931151093116,Leelanau,MI
251,Bilbo's Pizza and Brewery,brewpub,42.271602248062,-85.6312249418605,Kalamazoo,MI
252,Brewery Vivant,brewpub,42.9596159090909,-85.6468380909091,Kent,MI
253,Cognito Brewing Company,brewpub,42.3130809897959,-86.1115220816327,Van Buren,MI
254,ConfluxCity Brewing Company,micro,42.8714242896063,-84.9032148381293,Ionia,MI
255,Draught Horse Brewery,brewpub,42.5113546,-83.61459,Oakland,MI
256,Final Gravity Brewing Company,micro,42.2932447058824,-85.5831588823529,Kalamazoo,MI
257,Fountain Hill Brewery,brewpub,42.965489,-85.664754,Kent,MI
258,Gonzo's BigDogg Brewery,brewpub,42.2908852,-85.590082607993,Kalamazoo,MI
259,Grand River Brewery,brewpub,42.249334,-84.406597,Jackson,MI
260,Harpers Restaurant and Brewpub,brewpub,42.73626665,-84.4828245246491,Ingham,MI
261,Jamesport Brewing Co,brewpub,43.9516856656598,-86.447873020905,Mason,MI
262,Kelsey Block Brewing Company,brewpub,41.9447466122449,-85.6333396122449,St. Joseph,MI
263,Looking Glass Brewing Company,brewpub,42.8424362857143,-84.5692237142857,Clinton,MI
264,Mitten Brewing Co - Northport,brewpub,45.129833,-85.6180190909091,Leelanau,MI
265,Newaygo Brewing Co,brewpub,43.4238664248786,-85.795858083189,Newaygo,MI
266,Oracle Brewing Company,micro,43.417723,-83.9640135102041,Saginaw,MI
267,Pileated Brewing Co,micro,42.2528624961832,-83.7338530381679,Washtenaw,MI
268,Railtown Brewing Co,micro,42.841188877551,-85.5783306530612,Kent,MI
269,River Rouge Brewing Company,micro,42.4872653131313,-83.1405958686869,Oakland,MI
270,Sherwood Brewing Co,brewpub,42.6320201428571,-82.9736141428571,Macomb,MI
271,Shipwreck Brewing Company,brewpub,42.4712223090048,-82.8887785856805,Macomb,MI
272,Tapistry Brewing Company,micro,41.9427559,-86.5561575,Berrien,MI
273,Tecumseh Brewing Company,brewpub,42.004052,-83.946191,Lenawee,MI
274,The Mitten Brewing Co,brewpub,42.9850773333333,-85.68101,Kent,MI
275,Tripelroot,brewpub,42.81211765,-86.0146348246228,Ottawa,MI
276,Walldorff Brewpub & Bistro,brewpub,42.6487487,-85.284584,Barry,MI
277,Watermark Brewing Company,micro,42.0128666818182,-86.51963025,Berrien,MI
278,Witch's Hat Brewing,micro,42.4554252170515,-83.6509930768823,Oakland,MI
279,Barrel Theory Beer Company,micro,44.9510655128205,-93.0880348205128,Ramsey,MN
280,BoomTown Brewery and Woodfire Grill,brewpub,47.4276931,-92.9355964,St. Louis,MN
281,Carmody Irish Pub & Brewing,brewpub,46.7898679947981,-92.0941880943814,St. Louis,MN
282,Forager Brewing Company,brewpub,44.0293769630614,-92.4786810104941,Olmsted,MN
283,"Gull Dam Brewing, Inc.",micro,46.4983497833438,-94.2976626608308,Crow Wing,MN
284,HammerHeart Brewing Company,micro,45.1890903,-93.1064135,Anoka,MN
285,Lakes & Legends Brewing Company,micro,44.9689387,-93.2794629,Hennepin,MN
286,Nutmeg Brewhouse,brewpub,44.7463634615385,-93.3054737692308,Dakota,MN
287,OMNI Brewing Company,micro,45.1260514285714,-93.4258984285714,Hennepin,MN
288,Oswald Brewing Company,brewpub,44.1061044897959,-94.2184542040816,Blue Earth,MN
289,Spilled Grain Brewhouse,micro,45.2595823784151,-94.1194613181467,Wright,MN
290,Urban Lodge Brewery,brewpub,45.5857195333456,-94.1628024974759,Benton,MN
291,Vine Park Brewing Co,micro,44.9040455,-93.1655001,Ramsey,MN
292,Chandeleur Island Brewing Company,micro,30.367827,-89.0954070161456,Harrison,MS
293,Anheuser-Busch InBev,large,38.5954536,-90.2118998,St. Louis,MO
294,Bronze Owl Brewing,brewpub,36.7566310769231,-90.3957733846154,Butler,MO
