Q1,Q2,Q3,Q4
59838,,54179,
68656,,88443,
59976,,66565,
58525,,102579,
80407,,79953,
77890,,66565,
68656,,88443,
59838,,117275,
80407,,64522,
102338,,87996,
102338,,83998,
68656,,92770,
80407,,73168,
102338,,73168,
102338,,62678,
72847,,87996,
57316,,102579,
44777,,75627,
102338,,102579,
78779,,88443,
102338,,77738,
78779,,102579,
89119,,107971,
69113,,73168,
72847,,79475,
67551,,62678,
79268,,79953,
79268,,88443,
102338,,62678,
59838,,79953,
57152,,61791,
59976,,122001,
80407,,38162,
102338,,56148,
80407,,42754,
77890,,56148,
75225,,56148,
48334,,56148,
45386,,56148,
55652,,56148,
49209,,63671,
42125,,56148,
50390,,56148,
64682,,56148,
62108,,50143,
77828,,63240,
53908,,56897,
66994,,64090,
59643,,59176,
53505,,117767,
87098,,60620,
67390,,52179,
53505,,105241,
65494,,53829,
61326,,64090,
91070,,117767,
53505,,72975,
53505,,62159,
77828,,101741,
59643,,60620,
77828,,52414,
66092,,53829,
56272,,58851,
77828,,71563,
90446,,41470,
64972,,60620,
65905,,66501,
58248,,55143,
65494,,84564,
59643,,66754,
77828,,61713,
51295,,105241,
77828,,101741,
58982,,61597,
54404,,50783,
61506,,61713,
66092,,83188,
81928,,101741,
77828,,72975,
63910,,72975,
64682,,66501,
53505,,86624,
64217,,117767,
68609,,61713,
75368,,69408,
55651,,55778,
77828,,105241,
77828,,117767,
63752,,99831,
53505,,64960,
69613,,66501,
52216,,105241,
68634,,52215,
68634,,69408,
57953,,54746,
52216,,84564,
52344,,84564,
59494,,51742,
59494,,53167,
83576,,62159,
83576,,105241,
72721,,64090,
106555,,86624,
86202,,66501,
72721,,66754,
72905,,55091,
112069,,72975,
85704,,53167,
95761,,59176,
83576,,61597,
90230,,62159,
95761,,105241,
83576,,60612,
95761,,63240,
83576,,105241,
86202,,83188,
83576,,52179,
86202,,84564,
52641,,105241,
87691,,89071,
75332,,48943,
78160,,70688,
52641,,72975,
75336,,83188,
81015,,105241,
90395,,58214,
72818,,101741,
62364,,71563,
67528,,105241,
56708,,66501,
58339,,41470,
66258,,60699,
69954,,62159,
79235,,66501,
86946,,61597,
69375,,72975,
96354,,53167,
84311,,66754,
69375,,66754,
96354,,54746,
53485,,60620,
69375,,64960,
84311,,56516,
90249,,61597,
63869,,101741,
64614,,42414,
53881,,63712,
64270,,84377,
54604,,46275,
51237,,51630,
58981,,47759,
41608,,50902,
75254,,55448,
75254,,69455,
60143,,54553,
69857,,69455,
77795,,84377,
83253,,84377,
81257,,51612,
60208,,51630,
76728,,55628,
66560,,84377,
87827,,55448,
54024,,72071,
81257,,70258,
87827,,84377,
58831,,56542,
81257,,63712,
49610,,84377,
69827,,84377,
59456,,60058,
68652,,46279,
82323,,52961,
82323,,57252,
66449,,55448,
82323,,84377,
71497,,45823,
58029,,84377,
70161,,50129,
63829,,51612,
62131,,65541,
64495,,84377,
73168,,55820,
56148,,84377,
61791,,57252,
71118,,55448,
61791,,55448,
62159,,55448,
55091,,55448,
59069,,53114,
60620,,57252,
60620,,53054,
64090,,68308,
55448,,46279,
55820,,69455,
42374,,55820,
55448,,55448,
42764,,84377,
57388,,84377,
49924,,60058,
110252,,46075,
59339,,46075,
72469,,84377,
72469,,57252,
85665,,52051,
72469,,52522,
59339,,84377,
51923,,69455,
54377,,53688,
