,BreweryName,BreweryType,Latitude,Longitude,County,State
3824,Mexitaly Brick Oven Brewhouse,brewpub,39.9735865,-76.6781639,York,PA
3825,Mudhook Brewing Co,brewpub,39.9631106852444,-76.7293529661274,,
3826,"ShuBrew, LLC",brewpub,40.7928506347067,-80.136358917809,Butler,PA
3827,Brutopia Brewery and Kitchen,brewpub,41.78983825,-71.4716961299999,Providence,RI
3828,Revival Brewing,proprietor,41.78983825,-71.4716961299999,,
3829,Tilted Barn Brewery,micro,41.554186,-71.523075,,
3830,Coddington Brewing Co,brewpub,41.5186951351351,-71.3049167027027,Newport,RI
3831,Taproot Brewing Co / Newport Vineyards,micro,41.5293214,-71.2726634,Newport,RI
3832,Foolproof Brewing Company,micro,41.8693906923077,-71.4101783717949,Providence,RI
3833,Narragansett Brewing Co,regional,41.87668875,-71.3884771470588,Providence,RI
3834,Trinity Brewhouse,brewpub,41.8223638,-71.4168238,Providence,RI
3835,Whalers Brewing Company,micro,41.4506997,-71.4970673093227,Washington,RI
3836,Sons of Liberty Beer & Spirits Co.,micro,41.4545347,-71.5052599881523,Washington,RI
3837,Proclamation Ale Company,micro,41.730117,-71.445959,,
3838,"Shaidzon Beer Company, LLC",micro,41.4812798522534,-71.5676323189066,Washington,RI
3839,Grey Sail Brewing Co. LLC,micro,41.385011,-71.832459,Washington,RI
3840,Ravenous Brewing Company,micro,41.9957057433531,-71.48836293744,Providence,RI
3841,Aiken Brewing Co,brewpub,33.5603084,-81.7228141,Aiken,SC
3842,Salt Marsh Brewing,brewpub,32.2372909021909,-80.8604897466436,Beaufort,SC
3843,Southern Barrel Brewing Company,micro,32.2715377,-80.9199124,,
3844,New Groove Artisan Brewery,brewpub,35.072809,-82.017032,Spartanburg,SC
3845,Charles Towne Fermentory,micro,32.781811,-79.985096,Charleston,SC
3846,Cooper River Brewing Company,micro,32.817102,-79.954817,Charleston,SC
3847,Fatty's Beer Works,contract,32.816629,-79.950716,,
3848,Munkle Brewing Company,micro,32.8185299963622,-79.9506892780644,Charleston,SC
3849,Revelry Brewing Co.,micro,32.8072823854694,-79.9439381993063,Charleston,SC
3850,Snafu Brewing Company,micro,32.9255082,-80.0664232,Charleston,SC
3851,The Hold By Revelry Brewing,micro,32.8076133599163,-79.9456937208899,,
3852,Tradesman Brewing Company,micro,32.7601392286237,-79.9732138160205,Charleston,SC
3853,Twisted Cypress Brewing Company,micro,32.7990541201577,-80.0219063047438,Charleston,SC
3854,Conquest Brewing Co.,micro,33.9710088163265,-81.023822122449,,
3855,River Rat Brewery,brewpub,33.9732558901252,-81.0112538602882,,
3856,Columbia Craft Brewing Company,brewpub,33.992366626412,-81.0420095718153,,
3857,CottonTown Brew Lab,micro,34.0169502857143,-81.0400401428571,,
3858,Hunter Gatherer Brewery and Alehouse,brewpub,33.997366,-81.0315874,,
3859,Seminar Brewing,brewpub,34.2209957042607,-79.7883766616541,,
3860,Full Spectrum Brewing Co,micro,35.0326818386014,-80.9664999359971,York,SC
3861,Brewery 85,micro,34.8028183,-82.3491500488271,Greenville,SC
3862,Quest Brewing Company,micro,34.8465767,-82.3451569114422,Greenville,SC
3863,Thomas Creek Brewery,micro,34.7966767,-82.42335755,,
3864,Good Times Brewing,brewpub,34.1898924489796,-82.163632244898,Greenwood,SC
3865,Blue Ridge Brewing Co/Foothills Brewing,brewpub,34.9361559,-82.2262648,Greenville,SC
3866,Old Mill Brewpub,brewpub,33.9772343,-81.2298014,,
3867,Krafty Draft Brew Pub,brewpub,33.9871102137227,-81.305868166854,,
3868,New South Brewing Co,micro,33.6973479679603,-78.8898911334989,,
3869,Gordon Biersch Brewery Restaurant - Myrtle Beach,brewpub,33.668327,-78.939092,,
3870,Liberty Steakhouse and Brewery,brewpub,33.7193132439979,-78.8794320626304,,
3871,Commonhouse Aleworks,micro,32.8829971086798,-79.9755637991219,Charleston,SC
3872,Lo-Fi Brewing,micro,32.8336083,-79.9540931,Charleston,SC
3873,Pawleys Island Brewing Company,brewpub,32.8533503975611,-80.0042304853766,,
3874,Dead Eric Brewing Co. LLC,micro,34.723368,-83.042921,Oconee,SC
3875,Legal Remedy Brewing,brewpub,34.9304961,-81.0249405,York,SC
3876,Rail Line Brewing,brewpub,34.7414657,-82.2578248084272,Greenville,SC
3877,Ciclops Cyderi and Brewery,brewpub,34.95241345,-81.929521675633,,
3878,Swamp Rabbit Brewery and Taproom,micro,34.9666584952466,-82.4422763889711,,
3879,Wooden Legs Brewing Co,brewpub,44.3104741,-96.7996148,Brookings,SD
3880,Eponymous Brewing Co,micro,44.3047216476716,-96.7988125663931,Brookings,SD
3881,Mt. Rushmore Brewing Company,brewpub,43.764722,-103.605392,,
3882,Dakota Shivers Brewing,micro,44.3511162245966,-103.772162595213,Lawrence,SD
3883,Firehouse Brewing Co,brewpub,44.08144085,-103.227556215794,Pennington,SD
3884,Hay Camp Brewing Company,micro,44.07889,-103.227816,Pennington,SD
3885,Granite City Food & Brewery (#2),brewpub,43.523371915769,-96.7727843992402,Minnehaha,SD
3886,Fernson Brewing Company,micro,43.6078529748557,-96.7085261318935,Minnehaha,SD
3887,Gandy Dancer Brew Works,brewpub,43.5488749,-96.7218594,Minnehaha,SD
3888,Crow Peak Brewing Co,micro,44.5175219,-103.8706684,Lawrence,SD
